Frequency (Hz)	Level (dB)
5.859375	-57.629936
11.718750	-49.659996
17.578125	-41.467194
23.437500	-43.004715
29.296875	-49.236858
35.156250	-44.771629
41.015625	-42.899300
46.875000	-41.784412
52.734375	-40.011425
58.593750	-35.962143
64.453125	-31.933512
70.312500	-30.934669
76.171875	-30.654709
82.031250	-31.987154
87.890625	-34.766029
93.750000	-37.204361
99.609375	-37.780441
105.468750	-39.179974
111.328125	-39.103870
117.187500	-40.935818
123.046875	-40.353329
128.906250	-38.006466
134.765625	-39.631889
140.625000	-43.139469
146.484375	-41.929928
152.343750	-41.017925
158.203125	-41.154415
164.062500	-41.976425
169.921875	-45.336380
175.781250	-47.067417
181.640625	-44.277115
187.500000	-43.653362
193.359375	-44.269543
199.218750	-44.092617
205.078125	-41.530277
210.937500	-42.439014
216.796875	-43.970524
222.656250	-43.985321
228.515625	-47.103737
234.375000	-46.202114
240.234375	-47.300480
246.093750	-42.736149
251.953125	-45.759579
257.812500	-44.554665
263.671875	-42.727745
269.531250	-44.401489
275.390625	-41.457291
281.250000	-43.874306
287.109375	-48.299511
292.968750	-43.873768
298.828125	-46.107323
304.687500	-45.645763
310.546875	-42.307472
316.406250	-45.472755
322.265625	-44.240795
328.125000	-38.328587
333.984375	-39.964657
339.843750	-46.693073
345.703125	-46.806461
351.562500	-47.094753
357.421875	-49.061462
363.281250	-47.259758
369.140625	-44.387657
375.000000	-48.148987
380.859375	-51.507431
386.718750	-44.983089
392.578125	-41.574799
398.437500	-46.141407
404.296875	-53.624817
410.156250	-47.012817
416.015625	-43.945972
421.875000	-49.366901
427.734375	-51.307850
433.593750	-48.312038
439.453125	-45.388668
445.312500	-49.067623
451.171875	-52.686546
457.031250	-50.399529
462.890625	-49.823418
468.750000	-50.227203
474.609375	-54.354546
480.468750	-55.295979
486.328125	-51.566185
492.187500	-46.099354
498.046875	-47.928200
503.906250	-53.153614
509.765625	-52.924377
515.625000	-48.156986
521.484375	-43.351112
527.343750	-45.191479
533.203125	-53.457706
539.062500	-55.864529
544.921875	-53.491348
550.781250	-48.632477
556.640625	-48.729191
562.500000	-56.409527
568.359375	-57.006454
574.218750	-55.263229
580.078125	-51.102093
585.937500	-46.919285
591.796875	-47.611000
597.656250	-52.855972
603.515625	-56.738110
609.375000	-55.086143
615.234375	-47.111713
621.093750	-43.810139
626.953125	-47.044422
632.812500	-51.703579
638.671875	-50.063602
644.531250	-52.029316
650.390625	-48.016518
656.250000	-43.963818
662.109375	-45.826073
667.968750	-53.564919
673.828125	-57.208813
679.687500	-56.690300
685.546875	-56.335197
691.406250	-56.781796
697.265625	-56.778759
703.125000	-57.926567
708.984375	-59.534767
714.843750	-55.792522
720.703125	-54.865105
726.562500	-54.666126
732.421875	-47.356930
738.281250	-45.651306
744.140625	-47.725567
750.000000	-54.050659
755.859375	-57.372307
761.718750	-57.728157
767.578125	-55.676266
773.437500	-51.315250
779.296875	-45.523827
785.156250	-44.089966
791.015625	-48.533901
796.875000	-56.347828
802.734375	-58.649170
808.593750	-60.118515
814.453125	-59.583344
820.312500	-55.514606
826.171875	-50.651546
832.031250	-49.912998
837.890625	-57.578888
843.750000	-57.121292
849.609375	-50.793045
855.468750	-50.963799
861.328125	-53.532177
867.187500	-55.307644
873.046875	-51.441868
878.906250	-47.929649
884.765625	-50.879513
890.625000	-58.378532
896.484375	-58.609089
902.343750	-58.521149
908.203125	-57.027187
914.062500	-55.814354
919.921875	-57.276466
925.781250	-58.323505
931.640625	-54.982327
937.500000	-57.505947
943.359375	-63.461700
949.218750	-63.458633
955.078125	-63.743511
960.937500	-62.487103
966.796875	-59.080956
972.656250	-55.387329
978.515625	-48.712433
984.375000	-47.193447
990.234375	-47.061241
996.093750	-51.940674
1001.953125	-56.503834
1007.812500	-57.661934
1013.671875	-58.077808
1019.531250	-60.716267
1025.390625	-59.458641
1031.250000	-56.553871
1037.109375	-49.738297
1042.968750	-45.493561
1048.828125	-46.537708
1054.687500	-51.564034
1060.546875	-58.940918
1066.406250	-59.656509
1072.265625	-55.234646
1078.125000	-53.219627
1083.984375	-54.959160
1089.843750	-56.850388
1095.703125	-58.501064
1101.562500	-55.629162
1107.421875	-53.806602
1113.281250	-53.414288
1119.140625	-59.728294
