Frequency (Hz)	Level (dB)
5.859375	-59.411648
11.718750	-51.957565
17.578125	-43.635880
23.437500	-38.919811
29.296875	-40.158440
35.156250	-41.531967
41.015625	-38.606758
46.875000	-37.008522
52.734375	-39.507965
58.593750	-40.998451
64.453125	-38.972404
70.312500	-37.293037
76.171875	-36.441483
82.031250	-35.562122
87.890625	-36.125446
93.750000	-36.907486
99.609375	-37.203941
105.468750	-38.555046
111.328125	-39.835232
117.187500	-39.879421
123.046875	-40.163185
128.906250	-37.317932
134.765625	-36.838299
140.625000	-37.006733
146.484375	-38.302647
152.343750	-40.548260
158.203125	-37.296535
164.062500	-35.600166
169.921875	-35.680588
175.781250	-36.086803
181.640625	-34.663429
187.500000	-35.661144
193.359375	-33.448750
199.218750	-33.427307
205.078125	-37.275558
210.937500	-38.672726
216.796875	-39.956715
222.656250	-36.832447
228.515625	-31.183851
234.375000	-31.722277
240.234375	-35.313854
246.093750	-36.611427
251.953125	-37.570183
257.812500	-37.434296
263.671875	-35.115814
269.531250	-35.696236
275.390625	-38.715565
281.250000	-39.038956
287.109375	-38.866539
292.968750	-34.849716
298.828125	-36.390450
304.687500	-40.867226
310.546875	-41.431458
316.406250	-39.305771
322.265625	-37.370556
328.125000	-35.499359
333.984375	-36.071388
339.843750	-37.156265
345.703125	-37.482861
351.562500	-39.302032
357.421875	-38.623474
363.281250	-36.451263
369.140625	-37.015789
375.000000	-38.423161
380.859375	-37.363834
386.718750	-34.653996
392.578125	-33.466721
398.437500	-35.966869
404.296875	-37.648869
410.156250	-33.918800
416.015625	-34.691345
421.875000	-39.459023
427.734375	-38.178078
433.593750	-38.638218
439.453125	-39.505531
445.312500	-39.323772
451.171875	-39.393948
457.031250	-38.030483
462.890625	-36.157948
468.750000	-36.016781
474.609375	-36.525890
480.468750	-39.342010
486.328125	-40.272488
492.187500	-39.638893
498.046875	-39.107479
503.906250	-39.835606
509.765625	-39.445145
515.625000	-40.830219
521.484375	-40.509663
527.343750	-40.929970
533.203125	-38.134426
539.062500	-35.727413
544.921875	-38.507801
550.781250	-39.458897
556.640625	-40.001678
562.500000	-40.363148
568.359375	-41.831264
574.218750	-40.814560
580.078125	-39.801895
585.937500	-39.678333
591.796875	-38.841866
597.656250	-40.291626
603.515625	-39.596970
609.375000	-40.145809
615.234375	-39.518192
621.093750	-39.519642
626.953125	-38.191174
632.812500	-37.620804
638.671875	-38.880867
644.531250	-38.414619
650.390625	-36.878002
656.250000	-34.518265
662.109375	-34.570904
667.968750	-35.466923
673.828125	-36.032246
679.687500	-36.811390
685.546875	-39.071251
691.406250	-38.725006
697.265625	-37.329269
703.125000	-39.225510
708.984375	-39.542625
714.843750	-36.230446
720.703125	-34.392296
726.562500	-36.969666
732.421875	-40.226646
738.281250	-37.451725
744.140625	-36.211735
750.000000	-36.734859
755.859375	-38.358353
761.718750	-39.220169
767.578125	-38.669186
773.437500	-39.338707
779.296875	-38.936501
785.156250	-39.410202
791.015625	-39.168869
796.875000	-38.950943
802.734375	-37.555405
808.593750	-38.751411
814.453125	-36.141670
820.312500	-34.679253
826.171875	-37.756336
832.031250	-39.516495
837.890625	-40.348255
843.750000	-41.400322
849.609375	-42.014824
855.468750	-40.660198
861.328125	-39.375866
867.187500	-39.003475
873.046875	-39.124889
878.906250	-38.423141
884.765625	-41.207733
890.625000	-42.045853
896.484375	-41.762062
902.343750	-42.084702
908.203125	-41.500141
914.062500	-41.101120
919.921875	-40.280769
925.781250	-40.900482
931.640625	-42.680019
937.500000	-42.036030
943.359375	-40.791359
949.218750	-39.864033
955.078125	-39.749279
960.937500	-40.882889
966.796875	-41.920231
972.656250	-41.525349
978.515625	-40.687107
984.375000	-39.788960
990.234375	-39.486847
996.093750	-39.945656
1001.953125	-41.904491
1007.812500	-43.469730
1013.671875	-42.562946
1019.531250	-42.825134
1025.390625	-40.886253
1031.250000	-42.090137
1037.109375	-42.493820
1042.968750	-41.236145
1048.828125	-42.907375
1054.687500	-41.997807
1060.546875	-38.742466
1066.406250	-37.366623
1072.265625	-40.536552
1078.125000	-40.622387
1083.984375	-40.032757
1089.843750	-39.781212
