Frequency (Hz)	Level (dB)
5.859375	-71.087723
11.718750	-58.545906
17.578125	-49.691605
23.437500	-50.621792
29.296875	-54.220772
35.156250	-48.360535
41.015625	-46.121624
46.875000	-44.673672
52.734375	-42.319618
58.593750	-37.605778
64.453125	-33.410477
70.312500	-32.228119
76.171875	-31.704184
82.031250	-32.982605
87.890625	-35.647106
93.750000	-37.493690
99.609375	-37.711121
105.468750	-39.583363
111.328125	-39.720341
117.187500	-41.647400
123.046875	-40.644722
128.906250	-37.738838
134.765625	-39.485359
140.625000	-43.710060
146.484375	-42.417664
152.343750	-41.567024
158.203125	-41.658829
164.062500	-42.419468
169.921875	-45.292946
175.781250	-46.933823
181.640625	-44.554890
187.500000	-44.013855
193.359375	-44.117977
199.218750	-44.045181
205.078125	-42.134705
210.937500	-43.012039
216.796875	-44.101761
222.656250	-44.047962
228.515625	-47.038631
234.375000	-46.182995
240.234375	-47.475182
246.093750	-43.085468
251.953125	-45.875099
257.812500	-43.545467
263.671875	-41.892212
269.531250	-44.010410
275.390625	-41.696629
281.250000	-44.302795
287.109375	-47.805141
292.968750	-43.799774
298.828125	-46.353142
304.687500	-45.702587
310.546875	-42.259315
316.406250	-45.674099
322.265625	-44.464417
328.125000	-38.928871
333.984375	-40.444057
339.843750	-46.693443
345.703125	-46.713463
351.562500	-47.019756
357.421875	-48.498474
363.281250	-47.114964
369.140625	-44.180180
375.000000	-47.837639
380.859375	-50.981972
386.718750	-44.398109
392.578125	-40.883751
398.437500	-45.661140
404.296875	-53.206146
410.156250	-48.906826
416.015625	-46.779232
421.875000	-50.814159
427.734375	-51.012650
433.593750	-48.015766
439.453125	-45.185616
445.312500	-48.959656
451.171875	-52.092731
457.031250	-49.629189
462.890625	-49.479607
468.750000	-49.910225
474.609375	-54.657639
480.468750	-55.593224
486.328125	-51.111599
492.187500	-46.319908
498.046875	-48.318813
503.906250	-53.041206
509.765625	-53.169029
515.625000	-48.051228
521.484375	-42.871510
527.343750	-44.786652
533.203125	-53.650455
539.062500	-55.601830
544.921875	-53.290962
550.781250	-48.717106
556.640625	-49.328983
562.500000	-56.863605
568.359375	-56.708878
574.218750	-55.343052
580.078125	-51.008694
585.937500	-46.484329
591.796875	-47.443203
597.656250	-53.235706
603.515625	-56.674534
609.375000	-54.921860
615.234375	-47.207165
621.093750	-43.796574
626.953125	-46.835938
632.812500	-51.583946
638.671875	-50.243706
644.531250	-52.225685
650.390625	-47.876522
656.250000	-44.249878
662.109375	-46.720322
667.968750	-53.462276
673.828125	-56.709385
679.687500	-55.966484
685.546875	-54.092361
691.406250	-56.001915
697.265625	-56.532032
703.125000	-57.668259
708.984375	-59.199265
714.843750	-55.049381
720.703125	-54.164143
726.562500	-54.427952
732.421875	-47.270088
738.281250	-46.051136
744.140625	-48.229759
750.000000	-53.663490
755.859375	-57.005199
761.718750	-57.449745
767.578125	-55.197990
773.437500	-51.086571
779.296875	-45.547913
785.156250	-43.296860
791.015625	-47.945244
796.875000	-56.302471
802.734375	-58.814449
808.593750	-60.176861
814.453125	-59.389256
820.312500	-54.407257
826.171875	-50.685291
832.031250	-50.949856
837.890625	-58.579659
843.750000	-56.819607
849.609375	-50.760818
855.468750	-51.075706
861.328125	-53.639408
867.187500	-55.126144
873.046875	-51.405701
878.906250	-47.729027
884.765625	-50.839352
890.625000	-58.774960
896.484375	-58.641766
902.343750	-59.033688
908.203125	-56.803486
914.062500	-54.565647
919.921875	-56.420753
925.781250	-57.578583
931.640625	-53.247437
937.500000	-55.850037
943.359375	-63.324268
949.218750	-63.215031
955.078125	-63.372456
960.937500	-62.158768
966.796875	-59.238728
972.656250	-55.352699
978.515625	-48.729233
984.375000	-47.273849
990.234375	-47.306927
996.093750	-52.116108
1001.953125	-56.727009
1007.812500	-57.504555
1013.671875	-57.959457
1019.531250	-60.163010
1025.390625	-58.528835
1031.250000	-55.651245
1037.109375	-49.696381
1042.968750	-45.432560
1048.828125	-46.643959
1054.687500	-51.232124
1060.546875	-58.037174
1066.406250	-59.478394
1072.265625	-55.186676
1078.125000	-53.239208
1083.984375	-54.853580
1089.843750	-56.397083
1095.703125	-57.809540
1101.562500	-54.781212
1107.421875	-52.452538
1113.281250	-53.046421
1119.140625	-59.603806
1125.000000	-60.882778
1130.859375	-61.361275
1136.718750	-63.068752
1142.578125	-61.613762
1148.437500	-57.367409
1154.296875	-55.519047
1160.156250	-59.289715
1166.015625	-55.817268
1171.875000	-51.020195
1177.734375	-50.571777
1183.593750	-57.017803
1189.453125	-63.081188
1195.312500	-63.178867
1201.171875	-61.725151
1207.031250	-59.018318
1212.890625	-58.351780
1218.750000	-60.097595
1224.609375	-59.215939
1230.468750	-54.366688
1236.328125	-48.318573
1242.187500	-46.627926
1248.046875	-47.651340
1253.906250	-55.468540
1259.765625	-59.817497
1265.625000	-58.784840
1271.484375	-53.857128
1277.343750	-55.804138
1283.203125	-55.157143
1289.062500	-56.988213
1294.921875	-61.430794
1300.781250	-58.524670
1306.640625	-51.749676
1312.500000	-48.918022
1318.359375	-47.526733
1324.218750	-49.919052
1330.078125	-57.115395
1335.937500	-61.170082
1341.796875	-63.429527
1347.656250	-62.451477
1353.515625	-61.197865
1359.375000	-56.497704
1365.234375	-56.843121
1371.093750	-54.884254
1376.953125	-58.283054
1382.812500	-57.231304
1388.671875	-59.263561
1394.531250	-59.688591
1400.390625	-58.315552
1406.250000	-61.424885
1412.109375	-63.530170
1417.968750	-57.483452
1423.828125	-57.973206
1429.687500	-56.732086
1435.546875	-53.217991
1441.406250	-53.732712
1447.265625	-56.137756
1453.125000	-56.329605
1458.984375	-59.933403
1464.843750	-54.813667
1470.703125	-50.430431
1476.562500	-48.145092
1482.421875	-47.674355
1488.281250	-54.208988
1494.140625	-61.398655
1500.000000	-59.926170
1505.859375	-58.526669
1511.718750	-59.913361
1517.578125	-59.166977
1523.437500	-62.094971
1529.296875	-63.030373
1535.156250	-58.214462
1541.015625	-57.076332
1546.875000	-59.092987
1552.734375	-55.818146
1558.593750	-50.229599
1564.453125	-46.238098
1570.312500	-46.344669
1576.171875	-52.150639
1582.031250	-59.375149
1587.890625	-60.320068
1593.750000	-58.686283
1599.609375	-61.175789
1605.468750	-59.545303
1611.328125	-59.527065
1617.187500	-59.293385
1623.046875	-61.917976
1628.906250	-59.833504
1634.765625	-58.985249
1640.625000	-59.904198
1646.484375	-56.646904
1652.343750	-56.042351
1658.203125	-53.201279
1664.062500	-51.979984
1669.921875	-54.518696
1675.781250	-61.172611
1681.640625	-65.235161
1687.500000	-65.502213
1693.359375	-60.920776
1699.218750	-56.919842
1705.078125	-57.388050
1710.937500	-59.144558
1716.796875	-63.627056
1722.656250	-61.783035
1728.515625	-58.024368
1734.375000	-59.563259
1740.234375	-62.692886
1746.093750	-59.233570
1751.953125	-55.261517
1757.812500	-50.295425
1763.671875	-50.147087
1769.531250	-55.373699
1775.390625	-59.488319
1781.250000	-59.992886
1787.109375	-60.904922
1792.968750	-62.839149
1798.828125	-62.867195
1804.687500	-61.271919
1810.546875	-58.821835
1816.406250	-60.715153
1822.265625	-60.202976
1828.125000	-55.577595
1833.984375	-57.989017
1839.843750	-65.812057
1845.703125	-65.520164
1851.562500	-60.835537
1857.421875	-57.123001
1863.281250	-51.806683
1869.140625	-48.919518
1875.000000	-52.669544
1880.859375	-62.200676
1886.718750	-64.012321
1892.578125	-57.952698
1898.437500	-56.711021
1904.296875	-59.165321
1910.156250	-56.688160
1916.015625	-59.327156
1921.875000	-63.181019
1927.734375	-63.898033
1933.593750	-62.212112
1939.453125	-59.520451
1945.312500	-61.978680
1951.171875	-59.631699
1957.031250	-53.338890
1962.890625	-53.454426
1968.750000	-54.604095
1974.609375	-50.508743
1980.468750	-50.328457
1986.328125	-55.345016
1992.187500	-64.449974
1998.046875	-65.943558
2003.906250	-62.482586
2009.765625	-61.679222
2015.625000	-62.358715
2021.484375	-58.564262
2027.343750	-58.663773
2033.203125	-61.894958
2039.062500	-64.546753
2044.921875	-64.786453
2050.781250	-60.164566
2056.640625	-57.964954
2062.500000	-60.692047
2068.359375	-63.506161
2074.218750	-59.822838
2080.078125	-52.984814
2085.937500	-47.520267
2091.796875	-45.568352
2097.656250	-47.012848
2103.515625	-53.067589
2109.375000	-58.730595
2115.234375	-62.359921
2121.093750	-61.767654
2126.953125	-63.428200
2132.812500	-60.586430
2138.671875	-58.129208
2144.531250	-59.136307
2150.390625	-57.434624
2156.250000	-55.178417
2162.109375	-60.837997
2167.968750	-62.017723
2173.828125	-58.340103
2179.687500	-62.866711
2185.546875	-66.528801
2191.406250	-63.748486
2197.265625	-59.361256
2203.125000	-59.226353
2208.984375	-59.033672
2214.843750	-54.360836
2220.703125	-50.463707
2226.562500	-51.770832
2232.421875	-61.294727
2238.281250	-66.033707
2244.140625	-65.432739
2250.000000	-61.179604
2255.859375	-62.067635
2261.718750	-64.918915
2267.578125	-63.022007
2273.437500	-63.826683
2279.296875	-63.289307
2285.156250	-60.468262
2291.015625	-60.505325
2296.875000	-62.538551
2302.734375	-58.997124
2308.593750	-58.986568
2314.453125	-64.135811
2320.312500	-65.968475
2326.171875	-64.834641
2332.031250	-62.986008
2337.890625	-60.777847
2343.750000	-55.394043
2349.609375	-50.732273
2355.468750	-49.451870
2361.328125	-53.464806
2367.187500	-60.023468
2373.046875	-60.525127
2378.906250	-65.066589
2384.765625	-65.457634
2390.625000	-66.276588
2396.484375	-65.870018
2402.343750	-65.961151
2408.203125	-64.210640
2414.062500	-60.126907
2419.921875	-59.548244
2425.781250	-65.017197
2431.640625	-67.208656
2437.500000	-65.173370
2443.359375	-60.564342
2449.218750	-60.295444
2455.078125	-65.762405
2460.937500	-63.286114
2466.796875	-58.326805
2472.656250	-57.174915
2478.515625	-53.748386
2484.375000	-48.423958
2490.234375	-45.480125
2496.093750	-49.286709
2501.953125	-56.178299
2507.812500	-60.416664
2513.671875	-64.081589
2519.531250	-63.731415
2525.390625	-61.591454
2531.250000	-64.333519
2537.109375	-63.830338
2542.968750	-58.833061
2548.828125	-58.064026
2554.687500	-63.032799
2560.546875	-65.093964
2566.406250	-65.202759
2572.265625	-67.898842
2578.125000	-65.760971
2583.984375	-63.235100
2589.843750	-61.642506
2595.703125	-60.735813
2601.562500	-59.803375
2607.421875	-54.537182
2613.281250	-50.186733
2619.140625	-50.104374
2625.000000	-53.784092
2630.859375	-52.075436
2636.718750	-47.778931
2642.578125	-49.092121
2648.437500	-57.032734
2654.296875	-62.581875
2660.156250	-64.849960
2666.015625	-63.200493
2671.875000	-63.374252
2677.734375	-60.003056
2683.593750	-61.947556
2689.453125	-62.865597
2695.312500	-62.482494
2701.171875	-66.538116
2707.031250	-65.608665
2712.890625	-64.347176
2718.750000	-64.153259
2724.609375	-66.439850
2730.468750	-64.178505
2736.328125	-56.436848
2742.187500	-53.555794
2748.046875	-57.250298
2753.906250	-63.538513
2759.765625	-64.542229
2765.625000	-65.269386
2771.484375	-65.615578
2777.343750	-67.392418
2783.203125	-64.674995
2789.062500	-61.301182
2794.921875	-61.219044
2800.781250	-62.871284
2806.640625	-61.157585
2812.500000	-61.029697
