Frequency (Hz)	Level (dB)
5.859375	-75.561356
11.718750	-68.152473
17.578125	-57.407429
23.437500	-51.622967
29.296875	-51.844810
35.156250	-51.956596
41.015625	-47.827644
46.875000	-45.738400
52.734375	-47.974503
58.593750	-48.960949
64.453125	-46.748070
70.312500	-44.985996
76.171875	-44.260658
82.031250	-42.825676
87.890625	-43.527241
93.750000	-44.273319
99.609375	-44.235443
105.468750	-45.871948
111.328125	-47.373569
117.187500	-46.951435
123.046875	-46.492470
128.906250	-43.856323
134.765625	-43.051327
140.625000	-43.286987
146.484375	-44.874580
152.343750	-47.069668
158.203125	-43.844818
164.062500	-41.715508
169.921875	-42.048542
175.781250	-42.253880
181.640625	-41.196453
187.500000	-42.875904
193.359375	-40.120449
199.218750	-39.530472
205.078125	-43.387463
210.937500	-44.771179
216.796875	-45.499706
222.656250	-43.001804
228.515625	-37.486156
234.375000	-37.891457
240.234375	-41.592472
246.093750	-42.893833
251.953125	-43.985378
257.812500	-43.548458
263.671875	-41.520573
269.531250	-41.938469
275.390625	-45.151966
281.250000	-45.413082
287.109375	-45.818943
292.968750	-40.962242
298.828125	-42.498119
304.687500	-46.844791
310.546875	-47.838814
316.406250	-45.525089
322.265625	-43.868618
328.125000	-42.012901
333.984375	-42.137791
339.843750	-42.912273
345.703125	-43.711220
351.562500	-45.430477
357.421875	-44.832748
363.281250	-42.901020
369.140625	-43.678646
375.000000	-45.105503
380.859375	-43.560074
386.718750	-40.911766
392.578125	-39.653130
398.437500	-41.552830
404.296875	-43.262348
410.156250	-40.421860
416.015625	-40.734592
421.875000	-45.614693
427.734375	-44.912125
433.593750	-44.814613
439.453125	-45.510654
445.312500	-46.148602
451.171875	-46.466824
457.031250	-45.056484
462.890625	-42.046257
468.750000	-42.029480
474.609375	-42.868385
480.468750	-45.490211
486.328125	-46.922489
492.187500	-45.659088
498.046875	-45.060448
503.906250	-45.246456
509.765625	-46.170486
515.625000	-47.855755
521.484375	-47.283516
527.343750	-47.243801
533.203125	-44.439022
539.062500	-41.971142
544.921875	-44.158726
550.781250	-45.816265
556.640625	-46.997784
562.500000	-47.189751
568.359375	-48.035904
574.218750	-46.755100
580.078125	-46.538166
585.937500	-45.845020
591.796875	-45.127720
597.656250	-46.172398
603.515625	-46.086330
609.375000	-46.722301
615.234375	-45.796654
621.093750	-46.441475
626.953125	-44.626621
632.812500	-43.972530
638.671875	-45.579037
644.531250	-44.901188
650.390625	-43.226276
656.250000	-41.058048
662.109375	-41.056511
667.968750	-42.269901
673.828125	-43.112495
679.687500	-43.108063
685.546875	-45.173054
691.406250	-45.416382
697.265625	-43.841347
703.125000	-45.712036
708.984375	-45.359715
714.843750	-42.668476
720.703125	-40.691017
726.562500	-44.039925
732.421875	-46.306667
738.281250	-44.037857
744.140625	-43.673340
750.000000	-43.693031
755.859375	-46.125156
761.718750	-45.873138
767.578125	-45.334145
773.437500	-45.848541
779.296875	-45.544861
785.156250	-45.647743
791.015625	-45.781219
796.875000	-46.076637
802.734375	-44.589825
808.593750	-44.837391
814.453125	-42.794125
820.312500	-41.407879
826.171875	-45.075394
832.031250	-46.419582
837.890625	-47.354218
843.750000	-47.919891
849.609375	-48.314892
855.468750	-47.091106
861.328125	-46.203075
867.187500	-45.642300
873.046875	-45.788773
878.906250	-45.337570
